# h (nm)	blurred F_rep (kT)	blurred F_att (kT)	blurred F_spheres (kT)
11.03	3.53853	-5.29658	-1.75805
11.12	3.48282	-5.27877	-1.79595
11.21	3.42774	-5.26097	-1.83323
11.3	3.37329	-5.24317	-1.86988
11.39	3.31946	-5.22537	-1.90591
11.48	3.26625	-5.20756	-1.94131
11.57	3.21365	-5.18974	-1.97609
11.66	3.16165	-5.17191	-2.01025
11.75	3.11025	-5.15405	-2.0438
11.84	3.05943	-5.13617	-2.07674
11.93	3.0092	-5.11826	-2.10906
12.02	2.95956	-5.10033	-2.14077
12.11	2.91049	-5.08237	-2.17188
12.2	2.862	-5.06438	-2.20238
12.29	2.81408	-5.04636	-2.23228
12.38	2.76672	-5.02831	-2.26159
12.47	2.71993	-5.01021	-2.29029
12.56	2.67369	-4.99208	-2.3184
12.65	2.628	-4.97391	-2.34591
12.74	2.58286	-4.95569	-2.37283
12.83	2.53826	-4.93743	-2.39917
12.92	2.4942	-4.91911	-2.42491
13.01	2.45068	-4.90075	-2.45007
13.1	2.40768	-4.88234	-2.47465
13.19	2.36522	-4.86387	-2.49865
13.28	2.32328	-4.84536	-2.52207
13.37	2.28187	-4.82679	-2.54492
13.46	2.24097	-4.80816	-2.56719
13.55	2.20059	-4.78947	-2.58889
13.64	2.16071	-4.77073	-2.61002
13.73	2.12135	-4.75193	-2.63058
13.82	2.08248	-4.73306	-2.65058
13.91	2.04412	-4.71413	-2.67001
14	2.00625	-4.69513	-2.68889
14.09	1.96887	-4.67608	-2.7072
14.18	1.93199	-4.65695	-2.72497
14.27	1.89559	-4.63776	-2.74217
14.36	1.85967	-4.6185	-2.75883
14.45	1.82424	-4.59918	-2.77494
14.54	1.78928	-4.57978	-2.7905
14.63	1.75479	-4.56032	-2.80552
14.72	1.72078	-4.54078	-2.82
14.81	1.68723	-4.52117	-2.83394
14.9	1.65414	-4.50148	-2.84734
14.99	1.62152	-4.48173	-2.86021
15.08	1.58935	-4.4619	-2.87255
15.17	1.55763	-4.44199	-2.88436
15.26	1.52637	-4.42201	-2.89564
15.35	1.49555	-4.40195	-2.9064
15.44	1.46518	-4.38182	-2.91664
